positionName,companyShortName,salary,createTime,companyId,companyFullName,companyLabelList,financeStage,positionLables,skillLables,education,district,workYear
数据挖掘工程师(J11048),明略科技集团,15k-25k,2019-12-09 11:38:53,13171,秒针信息技术有限公司,"['六险一金', '年底双薪', '绩效奖金', '完成E轮融资']",D轮及以上,['数据挖掘'],['数据挖掘'],本科,静安区,3-5年
高级算法工程师,PwC,15k-30k,2019-12-09 17:41:14,104862,普华永道信息技术（上海）有限公司,"['年底双薪', '交通补助', '绩效奖金', '午餐补助']",未融资,"['建模', 'NLP', '算法', '数据挖掘']","['建模', 'NLP', '算法', '数据挖掘']",本科,,不限
数据挖掘工程师,波克科技,10k-15k,2019-12-09 09:18:42,82939753,波克科技股份有限公司,"['年终分红', '定期体检', '技能培训', '年度旅游']",D轮及以上,['数据挖掘'],['数据挖掘'],本科,普陀区,1-3年
数据挖掘工程师（金融科技）,交银企服,10k-20k,2019-12-09 11:12:33,95051,交银企业管理服务（上海）有限公司张江高科技园区分公司,[],上市公司,"['数据挖掘', '数据分析']","['数据挖掘', '数据分析']",本科,长宁区,3-5年
初级算法工程师,商涌网络,10k-20k,2019-12-09 13:11:52,303426,上海商涌网络科技有限公司,"['带薪年假', '定期体检', '年底双薪', '股票期权']",A轮,"['大数据', '金融', '算法', '数据挖掘']","['算法', '数据挖掘']",本科,浦东新区,1-3年
推荐算法工程师,弘衍科技,22k-35k,2019-12-09 13:20:31,164879,弘衍信息科技（上海）有限公司,[],未融资,"['人工智能', '推荐', '算法', '深度学习']","['人工智能', '推荐', '算法', '深度学习']",硕士,闵行区,3-5年
数据挖掘与模型分析师,萨摩耶金服,20k-40k,2019-12-09 09:39:41,73604,深圳萨摩耶互联网金融服务有限公司,"['技能培训', '年度旅游', '岗位晋升', '五险一金']",C轮,['互联网金融'],[],本科,浦东新区,3-5年
数据分析开发工程师（数据挖掘/分析方向）,途虎养车网,25k-40k,2019-12-09 13:05:59,36009,上海阑途信息技术有限公司,"['技能培训', '节日礼物', '岗位晋升', '领导好']",D轮及以上,"['数据挖掘', '数据分析']","['数据挖掘', '数据分析']",本科,闵行区,3-5年
机器学习开发工程师,Gridsum 国双,15k-25k,2019-12-09 09:56:27,3038,北京国双科技有限公司,"['节日礼物', '年底双薪', '带薪年假', '午餐补助']",上市公司,"['大数据', '算法', '数据挖掘']","['算法', '数据挖掘']",本科,静安区,1-3年
算法工程师自然语言处理,索思数据,15k-30k,2019-12-09 16:23:22,402263,上海索思数据科技有限公司,"['定期体检', '员工食堂', '五险一金', '团队建设']",A轮,"['大数据', 'NLP']",['NLP'],本科,徐汇区,1-3年
推荐算法工程师,上海初生网络科技有限公司,15k-30k,2019-12-09 11:27:06,40729,上海初生网络科技有限公司,"['带薪年假', '年度旅游', '扁平管理', '五险一金']",B轮,"['大数据', '算法', '数据挖掘']","['算法', '数据挖掘']",本科,虹口区,1-3年
算法工程师,360,25k-50k,2019-11-28 10:31:43,436,奇虎360科技有限公司,"['专项奖金', '年底双薪']",上市公司,"['机器学习', '数据挖掘', '推荐']","['机器学习', '数据挖掘', '推荐']",硕士,虹口区,3-5年
推荐算法工程师（识货）,虎扑,50k-80k,2019-12-09 11:50:12,1145,虎扑（上海）文化传播股份有限公司,"['上班看球赛', '运动俱乐部', '大神分享会', '偶像零距离']",D轮及以上,"['机器学习', '深度学习', '搜索', '推荐']","['机器学习', '深度学习', '搜索', '推荐']",本科,杨浦区,5-10年
推荐算法工程师,比心陪练,35k-55k,2019-12-09 10:58:08,47993,上海鱼泡泡信息科技有限公司,"['带薪年假', '年度旅游', '岗位晋升', '六险一金']",B轮,"['搜索', '推荐']","['搜索', '推荐']",本科,徐汇区,3-5年
positionName,companyShortName,salary,createTime,companyId,companyFullName,companyLabelList,financeStage,positionLables,skillLables,education,district,workYear
算法工程师-（反作弊）(J11972),2345.com,40k-60k,2019-12-09 13:59:46,6082,上海二三四五网络科技有限公司,"['鼓励内部创业', '互联网百强', '亿万用户', '提倡男女恋爱']",上市公司,['算法'],['算法'],本科,浦东新区,3-5年
算法工程师,北河三文化传播,40k-70k,2019-12-04 11:09:34,117445221,武汉市北河三文化传播有限公司,[],未融资,"['移动互联网', '云计算', '推荐算法']",['推荐算法'],硕士,浦东新区,3-5年
​资深算法（智能调度/派单）工程师,比心陪练,30k-55k,2019-12-09 10:58:08,47993,上海鱼泡泡信息科技有限公司,"['带薪年假', '年度旅游', '岗位晋升', '六险一金']",B轮,"['人工智能', '机器学习', '推荐', '数据挖掘']","['人工智能', '机器学习', '推荐', '数据挖掘']",本科,徐汇区,3-5年
算法工程师,栈略数据,30k-50k,2019-11-19 10:27:29,120407,上海栈略数据技术有限公司,"['年底双薪', '带薪年假', '交通补助', '通讯津贴']",B轮,"['机器学习', 'NLP', '建模']","['机器学习', 'NLP', '建模']",本科,静安区,5-10年
算法工程师 算法研发工程师,外资-升宝,15k-20k,2019-12-09 09:42:20,78748,升宝节能技术（上海）有限公司,"['绩效奖金', '定期体检', '弹性工作', '温暖的大家庭']",B轮,"['大数据', '算法', '数据挖掘']","['算法', '数据挖掘']",本科,浦东新区,1-3年
搜索算法工程师,字节跳动,20k-40k,2019-12-09 17:24:57,62,北京字节跳动科技有限公司,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",C轮,[],[],本科,闵行区,3-5年
算法工程师,华信集团,20k-40k,2019-11-26 10:51:08,148832,湖北信信通通讯科技有限公司,"['年底双薪', '带薪年假', '交通补助', '弹性工作']",天使轮,"['人工智能', '算法']","['人工智能', '算法']",本科,浦东新区,不限
0921LM-NLP算法工程师,平安健康保险,15k-25k,2019-12-09 00:00:19,210312,平安健康保险股份有限公司,[],未融资,"['人工智能', '机器学习', 'NLP']","['人工智能', '机器学习', 'NLP']",硕士,徐汇区,1-3年
算法/数据挖掘高级工程师,阅文集团,30k-50k,2019-12-05 10:12:27,28243,上海阅文信息技术有限公司,"['年终分红', '年底双薪', '五险一金', '交通补助']",上市公司,"['大数据', '算法']",['算法'],本科,浦东新区,3-5年
机器学习算法工程师,拼多多,25k-50k,2019-12-04 10:09:30,107784,上海寻梦信息技术有限公司,"['股票期权', '专项奖金', '弹性工作', '扁平管理']",上市公司,['机器学习'],['机器学习'],本科,长宁区,3-5年
